tier,BZ_id,BZ_title,TMI_id,TMI_title,title_sim,doc_sim,shared
B,I47A,Rainbow is fox’s wedding,A2525.3,Why Fox Is Sly,0.525,0.377,1
B,I98B,The Pleiades are a duck’s nest,A773,Origin Of The Pleiades,0.524,0.432,1
B,B81,Rifle for the dog,D2087.7,Witches Rifle Drawers Of Chests In House,0.524,0.380,1
B,F20,A strong embrace,D735.4,Disenchantment By Enduring Animal's Embrace,0.524,0.468,1
B,I46C,Rainbow rope,V1.5.6.1,Worship Of Rainbow,0.524,0.444,1
B,M39a4,Fool and his shadow,T532.8,Impregnation By Shadow Of Bhimsen,0.524,0.409,1
B,J24,Grounded to powder,D476.1.10,Bone-Powder Changed Into Cheese,0.524,0.484,1
B,B14A,Tears turn info the rain,D1004,Magic Tears,0.524,0.389,1
B,E6,Because of a woman worlds become isolated,E480.2,Three Worlds Of Dead,0.523,0.385,1
B,J60,Two-fold impregnation,T532.8,Impregnation By Shadow Of Bhimsen,0.523,0.350,1
B,B102A,Clouds are cows,F967.3,Conversation Between Clouds,0.523,0.465,1
B,M84D,Conversation of trees,F967.3,Conversation Between Clouds,0.523,0.362,1
B,A32H,The Moon plant,D1658.2.3,Grateful Plant,0.523,0.367,1
B,I96,Bloody rainbow,A791.2,Rainbow As Snake,0.523,0.360,1
B,L69,Puma rescues man from a monster,B547.1,Animal Rescues Man From Well,0.523,0.365,1
B,K30A,The chief’s wife and vultures,B242.2.11,King Of Vultures,0.522,0.470,1
B,I46,Rainbow belt,A288,Rainbow-Goddess,0.522,0.485,1
B,B33,Mother of wind,A1129.3,Wind Is Blind,0.522,0.374,1
B,L65b4,Tooth as an axe,S139.4,Murder By Mangling With Axe,0.522,0.377,1
B,F9E,Mice in vagina,X1226,Lies About Mice,0.522,0.372,1
B,J19B,Belly burned through,G366.1,Ogres Who Have No Belly,0.522,0.354,1
B,L87,Taste of blood,D1665.3,Fruit Has Any Taste Desired,0.522,0.376,1
B,G27,Plants from urine,A923.1,Ocean From Urine,0.522,0.384,1
B,E9L,Mouse-wife,D117.1,Transformation: Man To Mouse,0.521,0.473,1
B,M66,Itch after artichoke eating,X34,Use Of Itch-Producing Ointment,0.521,0.370,1
B,L17B,Two faces,V347,Idols Found On Their Faces After Saint's Arrival,0.521,0.364,1
B,K35,False husband,K1831,Service Under A False Name,0.521,0.363,1
B,I46A,Old woman’s rainbow,D1470.2.4,Supplies From Toe Of Old Woman,0.521,0.413,1
B,K75a2,The gardener,F614.3,Strong Man As Gardener: Destroys Plants,0.521,0.354,1
B,B83,Bag too heavy to be lifted up,D1654.16,Pot Cannot Be Lifted,0.521,0.363,1
B,I80A,The youngest Thunder,A284.1,Goddess Of Thunder,0.520,0.410,1
B,K15A,Substituted weapon,E785.1,Substituted Skin,0.520,0.358,1
B,B98B,Bat and funerals,B449.3,Helpful Bat,0.520,0.423,1
B,F78,Toothed anus,G363.3,Diamond-Toothed Ogre,0.520,0.415,1
B,C22,The drought,A1065,Continuous Drought At End Of World,0.519,0.370,1
B,H34E,The edible snow,A1135.2,Origin Of Snow,0.519,0.462,1
B,C2A,Conflagration of the woodpecker,A1957,Creation Of Woodpecker,0.518,0.401,1
B,K140,Ostentatiously ungrateful,T261,The Ungrateful Wife,0.518,0.367,1
B,F28D,Artificial conception,H57.5,Recognition By Artificial Hands,0.518,0.354,1
B,I76B,Mouse turns into bat,B449.3,Helpful Bat,0.518,0.443,1
B,A32B,The Moon toad,B214.4.1,Weeping Toad,0.518,0.357,1
B,F6,Gouged our vagina,F547.5,Extraordinary Vagina,0.518,0.448,1
B,D1a4,The chat of two fires,V511.2.1,Vision Of Fires Of Hell,0.517,0.383,0
B,I120A,Entering animal’s ear,D1011.2,Magic Ear Of Animal,0.517,0.397,1
B,F9E,Mice in vagina,F547.5.4,Double Vagina,0.517,0.378,1
B,L98,Dangerous owl,A2411.2.4.2,Color Of Owl,0.517,0.364,1
B,I74,Stars are stones,D1291.2.1,Sign In Stars As Portent,0.517,0.411,1
B,L65b4,Tooth as an axe,D1610.14.2,Speaking Axe,0.516,0.371,1
B,I130,The sky net,A1457.3,Origin Of The Net For Fishing,0.516,0.463,1
B,I92a,Jump over the rainbow,A288,Rainbow-Goddess,0.515,0.466,1
B,C35B,Frog is the enemy of the Sun,A2162,Origin Of Frog,0.515,0.411,1
B,K56d1,Treasure in a pumpkin,D981.11,Magic Pumpkin,0.515,0.365,1
B,K119e,A success story of a miller,P443.0.1,Water-Miller,0.515,0.420,1
B,M90a6,Apples of immortality,D1346.6,Fruit Of Immortality,0.515,0.420,1
B,H54B,The glance of death,F531.3.14,Beam Breaks At Giant's Glance,0.515,0.352,1
B,J36,Turtle as antagonist,B604.2.1,Marriage To Turtle,0.515,0.455,1
B,J23A,A mucus-boy,F51.1.7,Sky-Rope Of Mucus,0.515,0.353,1
B,I46,Rainbow belt,E644,Reincarnation As Rainbow,0.514,0.477,1
B,K56a2b,To bath lizards and bugs,A2052,Creation Of Bugs,0.514,0.396,1
B,L42b1,Ladder of pots and pans,F848.4,Ladder Of Fire,0.514,0.355,1
B,N26,When wheat grew on the ice,D1033.2,Magic Wheat,0.514,0.420,1
B,I50,Ungulate animal with more than four legs,D314,Transformation: Ungulate Animal (Wild) To Person,0.513,0.376,1
B,K33c2,Girl from the pomegranate,D211.2,Transformation: Man (Woman) To Pomegranate,0.513,0.416,1
B,I82H,Venus’ name is Čolpan,W181.6,Jealousy Of Venus In The Love Of Psyche And Cupid,0.513,0.373,1
B,K99a2,The sold dream,H24,Recognition From Dream,0.513,0.363,1
B,M39a4h,The lost camel of the king,A2356.2.13,Why Camel Has Humped Back,0.513,0.396,1
B,I46D,Rainbow snare,G306,Rainbow As Ogre,0.513,0.507,1
B,I8F,One support of the world,A665,Support Of The Sky,0.513,0.358,1
B,B74B,The marriage of the owl and the Moon,B461.2,Helpful Owl,0.513,0.376,1
B,I96,Bloody rainbow,A288,Rainbow-Goddess,0.513,0.465,1
B,L98,Dangerous owl,E613.2,Reincarnation As Owl,0.513,0.359,1
B,I95B,Orion is a shoulder-yoke,A772,Origin Of Orion,0.513,0.482,1
B,D4H,Swallow obtains fire,A2411.2.1.4,Color Of Swallow,0.513,0.506,1
B,C31c,The wise bat,A2491.1,Why Bat Flies By Night,0.513,0.389,1
B,M142,Animal blames its tail,A2378.2.5,Why Hydrax Has No Tail,0.512,0.369,1
B,K120a3,Jewelry in a nut,F813.3,Extraordinary Nut,0.512,0.381,1
B,I95,The Pleiades are a sieve for grain,A773,Origin Of The Pleiades,0.512,0.454,1
B,I47A,Rainbow is fox’s wedding,G306,Rainbow As Ogre,0.512,0.463,1
B,I80A,The youngest Thunder,A284.0.1,Angel Of Thunder,0.512,0.408,1
B,I4C,Storm-god as a prisoner,R51.4,Prisoner Massacred,0.511,0.429,1
B,F42,The men abandon the women,A1372.3,Why Women Are Roving,0.511,0.365,1
B,F42,The men abandon the women,A1372.1,Why Women Are Prattlers,0.511,0.365,1
B,H34C,Flying rice,A2771.4.1,Why Rice Has Ears Only At Top,0.510,0.430,1
B,L122,Riding a cock,E524.2,Ghost Of Cock,0.510,0.425,1
B,L81C,"Feetless, handless and blind",F167.6,Handless People In Otherworld,0.510,0.360,1
B,I103,The dog star,D293,Transformation: Man To Star,0.510,0.365,1
B,B72,The thirsty cuckoo,B469.8,Helpful Cuckoo,0.510,0.364,1
B,B100,The acquisition of the sleep,A1399.2.1,Origin Of Sleep,0.510,0.363,1
B,B33,Mother of wind,V1.5.3,Worship Of Wind,0.510,0.356,1
B,C6E,The diver is a crustacean,A2431.3.2,Diver's Nest,0.510,0.387,1
B,M66A,A hill of excrements,E649.1,Reincarnation As Hill,0.509,0.392,1
B,I8F,One support of the world,A840,Support Of The Earth,0.509,0.402,1
B,I74A,Stars are fire-flies,A769.4,Speaking Stars,0.509,0.436,1
B,B104,Chicken turns into tortoise,B469.5.1,Helpful Chicken,0.509,0.359,1
B,M182a1,Captured wild animals ransom themselves,B845,Wild Animals Herded,0.509,0.438,1
B,B44F,Fox stands for day,A2525.3,Why Fox Is Sly,0.509,0.375,1
B,B102A,Clouds are cows,D1812.5.0.10,Divination From Clouds,0.509,0.442,1
B,B1A,Three worlds: the universe divided between gods,A650,The Universe As A Whole,0.509,0.387,1
B,B1A,Three worlds: the universe divided between gods,A618.1,Universe Coughed Into Being,0.509,0.387,1
B,H12B,Ghosts feed on excrements,D1454.5,Treasure From Excrements,0.509,0.449,1
B,C2A,Conflagration of the woodpecker,D353.1,Transformation: Woodpecker To Person,0.508,0.385,1
B,I45B,Not to point at the rainbow,A288,Rainbow-Goddess,0.508,0.370,1
B,N28i,Whisk for the sea,F711.2.4,Sea Of Slime,0.508,0.398,1
B,B74B,The marriage of the owl and the Moon,B623.2,Owl As Suitor,0.508,0.375,1
B,K27L,Water covered with ice,F759.5,Mountain Of Ice,0.508,0.415,1
B,K38f6,The fire-creature,C747,Tabu: Not To Allow Any Other Creature On Raft,0.508,0.373,1
B,I92a,Jump over the rainbow,E644,Reincarnation As Rainbow,0.508,0.458,1
B,B45B,The bull of cold,A605.2,Primeval Cold,0.508,0.365,1
B,J1,The vengeful heroes,Z261,Giant Heroes,0.507,0.356,1
