tier,ATU_id,ATU_title,TMI_id,TMI_title,title_sim,doc_sim,shared
B,244A*,The Crane and the Heron,A2431.2.2,Why Heron Has No Nest,0.572,0.374,1
B,1262*,Spitting into the Porridge,D1610.31.1,Speaking Porridge,0.571,0.404,1
B,130A,Animals Build Themselves a House,B299.8,Animals Build Bridge,0.570,0.364,1
B,1853,Anecdotes about Millers,X210,Jokes About Millers,0.569,0.428,1
B,238,The Dove and the Frog Boast to Each Other,A2426.2.8,Why Dove Coos,0.568,0.447,1
B,244A*,The Crane and the Heron,B291.1.7,Heron As Messenger,0.568,0.369,1
B,325**,Sorcerer Punished,F721.2.3,Sorcerer And Books In Mountain,0.566,0.351,1
B,231**,The Falcon and the Doves,B872.3,Giant Falcon,0.566,0.414,1
B,1013,Bathing (Warming) Grandmother,P292,Grandmother,0.565,0.404,1
B,1177**,Fetching the Woman's Grindstone,A714.5,Sun As Grindstone Full Of Fire,0.564,0.477,1
B,325*,The Sorcerer's Apprentice,D1711.0.1,Magician's Apprentice,0.563,0.367,1
B,750E*,Hospitality and Sin,H1564,Test Of Hospitality,0.562,0.390,1
B,813B,The Accursed Grandson,S25,Cruel Grandson,0.560,0.361,1
B,299,The Mountain Gives Birth to a Mouse,T556,Woman Gives Birth To A Demon,0.558,0.369,1
B,1871D,The Cynic and the Bald-headed Man,F511.0.2.4,Six-Headed Man,0.558,0.352,1
B,293G*,"The Hedgehog, the Shilling, and the Gentleman",G211.2.9,Witch As Hedgehog,0.557,0.376,1
B,774N,St. Peter's Gluttony,W125,Gluttony,0.555,0.447,1
B,1321B,Fools Afraid of their own Shadow,J1700,Fools,0.554,0.553,1
B,219H*,The Rooster and the Pearl,F707.4,Kingdom Where Everything Is Of Pearl,0.553,0.399,1
B,2034F,The Clever Animal and the Fortunate Exchanges,L450,Proud Animal Less Fortunate Than Humble,0.552,0.375,1
B,813C,The Perjured Man and the Devil,G303.1.3.1,The Devil Is Developed From Man,0.530,0.551,1
B,1555A,Paying for Bread with Beer,D1045,Magic Beer,0.550,0.412,1
B,299,The Mountain Gives Birth to a Mouse,T554.8.1,Woman Gives Birth To Toad,0.549,0.367,1
B,231**,The Falcon and the Doves,B455.2,Helpful Falcon,0.548,0.396,1
B,1485*,Pretty Lips,F544.1,Remarkable Lips,0.548,0.399,1
B,186,The Monkey and the Nut,A132.2,Monkey As God,0.547,0.371,1
B,1897,The Pike Caught by the Fox,A2493.33,Friendship Between Pike And Crawfish,0.546,0.392,1
B,325**,Sorcerer Punished,Q211.2,Matricide Punished,0.546,0.371,1
B,325**,Sorcerer Punished,Q272,Avarice Punished,0.546,0.371,1
B,325**,Sorcerer Punished,Q388,Freemasonry Punished,0.546,0.371,1
B,325**,Sorcerer Punished,Q387,Jesting Punished,0.546,0.371,1
B,325**,Sorcerer Punished,Q253.2,Homosexuality Punished,0.546,0.371,1
B,325**,Sorcerer Punished,Q393.2,Gossiping Punished,0.546,0.371,1
B,325**,Sorcerer Punished,Q280,Unkindness Punished,0.546,0.371,1
B,929A,Uneducated Father,J1803,Learned Words Misunderstood By Uneducated,0.545,0.463,1
B,182,The Helpful Animal and the Snake,B310,Acquisition Of Helpful Animal,0.544,0.405,1
B,1321,Fools Frightened,J1700,Fools,0.543,0.429,1
B,1698H,The Deaf Man in the Tree,D215,Transformation: Man To Tree,0.542,0.359,1
B,1390*,The Dish he Hates,D1610.13,Speaking Dish,0.541,0.360,1
B,234A*,The Birds Brew Beer,D1045,Magic Beer,0.540,0.477,1
B,299,The Mountain Gives Birth to a Mouse,A1234.4,Earth Gives Birth To Woman,0.539,0.358,1
B,1485*,Pretty Lips,F544.1.3,Lips On Side Of Face,0.538,0.400,1
B,1288B,The Stolen Donkey,B19.11,Mythical Donkey,0.538,0.358,1
